City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,Hithadhoo,-0.6,73.0833,80.96,75,93,18.32,MV,2022-08-29 15:16:14
90,Kavieng,-2.5744,150.7967,82.26,71,73,14.03,PG,2022-08-29 15:16:14
91,Albany,42.6001,-73.9662,83.17,71,61,1.01,US,2022-08-29 15:12:49
92,Marrakesh,31.6315,-8.0083,95.07,34,40,12.66,MA,2022-08-29 15:16:14
93,Lagoa,39.05,-27.9833,73.76,84,36,10.36,PT,2022-08-29 15:16:15
94,Cape Town,-33.9258,18.4232,62.11,51,13,18.99,ZA,2022-08-29 15:14:03
95,Mezen,65.8522,44.24,58.23,59,96,7.94,RU,2022-08-29 15:16:15
96,Xam Nua,20.4197,104.0439,68.5,97,37,2.01,LA,2022-08-29 15:16:15
97,Nuuk,64.1835,-51.7216,50.61,62,75,4.61,GL,2022-08-29 15:16:16
98,Vagur,61.4732,-6.8119,50.76,85,100,13.33,FO,2022-08-29 15:16:16
99,Arraial Do Cabo,-22.9661,-42.0278,69.66,68,100,17.27,BR,2022-08-29 15:14:31
100,Yellowknife,62.456,-114.3525,52.32,87,75,6.91,CA,2022-08-29 15:16:16
101,Bambous Virieux,-20.3428,57.7575,71.85,83,40,0.0,MU,2022-08-29 15:16:17
102,Touros,-5.1989,-35.4608,83.88,61,54,18.92,BR,2022-08-29 15:16:17
103,Oranjemund,-28.55,16.4333,60.04,62,0,29.64,NA,2022-08-29 15:16:18
104,Atuona,-9.8,-139.0333,76.71,71,51,23.42,PF,2022-08-29 15:16:18
105,Coihaique,-45.5752,-72.0662,41.61,75,0,4.61,CL,2022-08-29 15:16:18
106,Kodiak,57.79,-152.4072,49.51,87,20,6.91,US,2022-08-29 15:16:18
107,Fukue,32.6881,128.8419,80.78,75,97,5.03,JP,2022-08-29 15:15:48
108,Sao Filipe,14.8961,-24.4956,77.61,81,100,13.47,CV,2022-08-29 15:16:19
109,Smithers,54.7804,-127.1743,55.72,94,100,3.44,CA,2022-08-29 15:16:19
110,Talakan,50.3167,130.3667,53.4,94,100,3.06,RU,2022-08-29 15:16:19
111,Alice Springs,-23.7,133.8833,49.55,53,0,0.0,AU,2022-08-29 15:16:20
112,Guerrero Negro,27.9769,-114.0611,70.81,78,97,11.12,MX,2022-08-29 15:16:20
113,Vila Velha,-20.3297,-40.2925,76.95,80,40,18.99,BR,2022-08-29 15:16:21
114,Comodoro Rivadavia,-45.8667,-67.5,64.26,16,0,2.3,AR,2022-08-29 15:16:21
115,Fortuna,40.5982,-124.1573,54.66,75,9,3.71,US,2022-08-29 15:12:16
116,Richards Bay,-28.783,32.0377,68.25,78,88,11.48,ZA,2022-08-29 15:16:21
117,Anito,12.4497,125.2886,79.45,86,63,3.53,PH,2022-08-29 15:16:22
118,Dukhovnitskoye,52.4828,48.2137,82.27,32,100,4.56,RU,2022-08-29 15:16:22
119,Bengkulu,-3.8004,102.2655,75.16,95,100,10.22,ID,2022-08-29 15:16:23
120,North Bend,43.4065,-124.2243,56.07,94,0,0.0,US,2022-08-29 15:14:37
