City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Neuquen,AR,-38.9516,-68.0591,62.49,27,0,9.22,clear sky
134,Iqaluit,CA,63.7506,-68.5145,41.7,93,100,21.0,light rain
135,Cidreira,BR,-30.1811,-50.2056,66.16,65,31,10.8,scattered clouds
136,Portland,US,45.5234,-122.6762,77.05,70,6,2.15,clear sky
137,Potosi,BO,-19.5836,-65.7531,58.06,26,0,20.71,clear sky
138,Vuktyl,RU,63.8567,57.3094,45.32,86,100,14.09,light rain
139,Liverpool,GB,53.4106,-2.9779,76.69,44,0,10.36,clear sky
140,Talnakh,RU,69.4865,88.3972,42.21,83,57,2.28,broken clouds
141,Shelburne,CA,44.0787,-80.2041,67.12,48,49,10.56,scattered clouds
142,Geraldton,AU,-28.7667,114.6,64.81,29,100,20.71,overcast clouds
143,Manicore,BR,-5.8092,-61.3003,93.15,52,20,4.61,few clouds
144,Bandarbeyla,SO,9.4942,50.8122,75.67,81,19,32.1,few clouds
145,Villa Carlos Paz,AR,-31.4241,-64.4978,74.05,17,16,18.99,few clouds
146,Empalme,MX,27.9667,-110.8167,86.92,79,75,5.75,broken clouds
147,Moultrie,US,31.1799,-83.7891,88.07,70,0,3.44,clear sky
148,Magdagachi,RU,53.45,125.8,50.79,68,89,3.78,overcast clouds
149,Grindavik,IS,63.8424,-22.4338,50.47,81,75,12.66,broken clouds
150,Nangomba,TZ,-10.9,38.5,77.68,27,1,4.05,clear sky
151,Dikson,RU,73.5069,80.5464,39.78,81,27,22.41,scattered clouds
152,Roald,NO,62.5833,6.1333,62.76,72,40,2.3,scattered clouds
153,Iskateley,RU,67.6803,53.1512,44.76,74,99,11.5,overcast clouds
154,Karratha,AU,-20.7377,116.8463,71.91,84,72,5.3,broken clouds
155,New Norfolk,AU,-42.7826,147.0587,37.71,70,24,3.27,few clouds
156,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,8.05,scattered clouds
157,Pevek,RU,69.7008,170.3133,32.67,82,100,1.95,overcast clouds
158,Saskylakh,RU,71.9167,114.0833,40.17,90,100,16.64,overcast clouds
159,Laguna,US,38.421,-121.4238,98.08,42,0,5.75,clear sky
160,Sterling,US,39.0062,-77.4286,87.13,44,20,11.99,few clouds
161,Hovd,MN,48.0056,91.6419,60.53,39,19,1.14,few clouds
162,Katobu,ID,-4.9408,122.5276,74.16,95,68,3.96,broken clouds
163,Barahona,DO,18.2085,-71.1008,87.42,57,37,7.85,scattered clouds
