City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
602,Ukiah,US,89.92,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
606,Santa Rosa,PH,82.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
613,Alugan,PH,79.18,overcast clouds,12.2188,125.4808,JM Lodge
614,Kandrian,PG,76.3,light rain,-6.2167,149.55,Kandrian Station
616,Winslow,US,80.78,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
621,Savannah Bight,HN,82.06,broken clouds,16.45,-85.85,Villa on Dunbar Rock
628,Iracoubo,GF,80.67,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
629,Saint Anthony,US,88.83,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
631,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
632,Kilindoni,TZ,75.11,few clouds,-7.9139,39.6668,Bustani B&B
634,Daru,PG,77.58,light rain,-9.0763,143.2092,Daru Lodge
635,Auki,SB,75.85,overcast clouds,-8.7676,160.7034,Auki Motel
637,Zhezkazgan,KZ,80.31,broken clouds,47.8043,67.7144,Hotel Zumrat
640,Bucerias,MX,88.99,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
641,Aquiraz,BR,88.45,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
642,Corinto,GR,82.89,broken clouds,37.9407,22.9573,Ephira Hotel
644,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
645,Kalianget,ID,80.08,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
652,Mehriz,IR,79.3,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
654,Iralaya,HN,76.66,overcast clouds,15.0,-83.2333,Iglesia morava renovada
657,Villers-Les-Nancy,FR,79.05,clear sky,48.671,6.1508,Hôtel Mercure Nancy Centre Place Stanislas
659,Arawa,PG,75.45,overcast clouds,-6.2132,155.5367,Coastline Guest House
660,Choctaw,US,76.39,light rain,35.4976,-97.2689,Woodland Hills Mobile Home Prk
661,Buala,SB,78.98,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
663,Weligama,LK,76.28,overcast clouds,5.9667,80.4167,Weligama Bay Resort
665,Isabela,PH,78.3,overcast clouds,6.7085,121.9711,Isawad Resort
667,Itarema,BR,85.19,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
668,Dryden,CA,79.09,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
669,Mazkeret Batya,IL,83.21,few clouds,31.8539,34.8386,Einav Holiday House בית הנופש עינב
675,Aska,IN,80.47,broken clouds,19.6061,84.6725,Hotel Bhubaneswari
678,Lisakovsk,KZ,77.5,scattered clouds,52.5369,62.4936,Gostinitsa Lisakovsk
680,Kimbe,PG,75.25,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
681,Upata,VE,83.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
